,job_title,company_name,location,summary,salary
920,Director of Clinical Informatics and Analytics,CEDARS-SINAI,"Los Angeles, CA",ï‚§ Experience with multiple informatics and/or analytics projects. This includes translation of existing complex workflows from a variety of patient care...,Nothing_found
921,Director of Network Programming Costs,The Walt Disney Company (Corporate),"Burbank, CA","The key objectives that this job needs to deliver include compliance with accounting standards for program expense recognition, timely payment of our...",Nothing_found
922,"VP, E-Commerce",Beautycounter,"Santa Monica, CA 90404","End-to-end eCommerce knowledge coupled with a passion to drive top-line growth using web marketing, analytics and multi-channel leverage....",Nothing_found
924,"Director, Quantitative Insights & Strategy",Kelton Global LLC,"Los Angeles, CA",WHO WE ARE: Kelton is a strategy consultancy that creates consumer-oriented business solutions based on core human truths. We create brand relevance and...,Nothing_found
925,"Director, Strategic Analysis - Customer Growth",Dollar Shave Club,"Marina del Rey, CA 90292",Leverage DSC web analytics tools (ie. 9+ years relevant experience in business strategy / analytics. Advance user knowledge of web analytics tool Adobe or...,Nothing_found
926,SEO Director - LIVESTRONG.COM,Leaf Group,"Santa Monica, CA","Google/Bing Webmaster Tools, Google Analytics. High proficiency in SEO analytics, testing, and optimization including:....",Nothing_found
932,"Director of Strategic Initiatives, OR Services",UCLA HEALTH,"Westwood, CA","The Director of Strategic Initiatives oversees analytics, revenue and cost control for Department of Operative Services using data to drive enhancements....",Nothing_found
933,"Vice President, Applied Analytics",NBCUniversal,"Universal City, CA","Background in and understanding of technical skills (e.g., SQL, SAS, R, Hive, Python), web and marketing analytics skills (e.g, Adobe Analytics, Google...",Nothing_found
934,Director of Marketplace Operations,Laurel & Wolf,"West Hollywood, CA 90069","Analytics and insights - your teams produce a lot of data and metrics, and your ability to crunch the numbers and pull out the right insights will point the...",Nothing_found
935,Head of Customer Success (Director or VP level),RingDNA,"Los Angeles, CA",Wield an impressive array of analytics tools to help the management team understand customer trends and behaviors that will help drive the business....,Nothing_found
936,Director of Brand Marketing,MeUndies,"Los Angeles, CA","Partner with our Growth Marketing and Analytics teams to set and continually evaluate KPIs for our marketing initiatives; MeUndies sells underwear, sure....",Nothing_found
937,Social Activation Director,Essence,"Los Angeles, CA 90015","Experience with data integration projects - e.g. APIs, DMPs, Analytics, etc. Essence, part of GroupM, is a data-driven global agency that blends data science,...",Nothing_found
938,Strategic Planning Director,BuzzFeed,"Los Angeles, CA 90036","Comfortable using data sources as diverse as revenue reports, Google Analytics, Facebookâ€™s audience tools. BuzzFeed is seeking a Strategic Planning Director who...",Nothing_found
939,Product Management Director,Twentieth Century Fox,"Los Angeles, CA",Experience working with analytics such as Adobe Analytics and Segment. The Product Director will work with the existing team and third-party vendors to stand up...,Nothing_found
940,"Director of Business Operations, GumGum Sports",GumGum,"Santa Monica, CA","Experience with sports commercial rights & sales, commercial analytics, and measurement & insights companies is a plus but not required....",Nothing_found
941,Engagement Director,Ellevation Education,"Los Angeles, CA 90017","The Engagement Director will play a key role in onboarding, training, and providing ongoing support to ensure that educators can maximize the use of...",Nothing_found
